12:38:20 Step   67 | loss=-0.4591 | avg_loss=-0.4595 | tokens=3938 | queue=1
12:43:27 Step   68 | loss=-0.4387 | avg_loss=-0.4592 | tokens=4377 | queue=0
12:48:38 Step   69 | loss=-0.4397 | avg_loss=-0.4589 | tokens=3880 | queue=0
12:53:48 Step   70 | loss=-0.4526 | avg_loss=-0.4588 | tokens=4151 | queue=0
12:58:57 Step   71 | loss=-0.4688 | avg_loss=-0.4590 | tokens=4003 | queue=0
13:04:08 Step   72 | loss=-0.4859 | avg_loss=-0.4594 | tokens=3800 | queue=0
13:09:17 Step   73 | loss=-0.4248 | avg_loss=-0.4589 | tokens=3850 | queue=0
13:14:27 Step   74 | loss=-0.5766 | avg_loss=-0.4605 | tokens=4144 | queue=0
13:19:35 Step   75 | loss=-0.4563 | avg_loss=-0.4604 | tokens=4022 | queue=0
13:24:45 Step   76 | loss=-0.4721 | avg_loss=-0.4606 | tokens=4309 | queue=0
13:29:51 Step   77 | loss=-0.5167 | avg_loss=-0.4613 | tokens=3908 | queue=0
13:35:01 Step   78 | loss=-0.4712 | avg_loss=-0.4614 | tokens=3906 | queue=0
13:40:11 Step   79 | loss=-0.5199 | avg_loss=-0.4622 | tokens=3828 | queue=1
13:45:18 Step   80 | loss=-0.5458 | avg_loss=-0.4632 | tokens=3779 | queue=0
13:50:28 Step   81 | loss=-0.4817 | avg_loss=-0.4634 | tokens=4295 | queue=0
13:55:39 Step   82 | loss=-0.4811 | avg_loss=-0.4637 | tokens=4069 | queue=0
14:00:44 Step   83 | loss=-0.5842 | avg_loss=-0.4651 | tokens=3679 | queue=0
14:05:50 Step   84 | loss=-0.4945 | avg_loss=-0.4655 | tokens=3720 | queue=0
14:10:59 Step   85 | loss=-0.5424 | avg_loss=-0.4664 | tokens=4060 | queue=0
14:16:05 Step   86 | loss=-0.5280 | avg_loss=-0.4671 | tokens=4046 | queue=0
14:21:12 Step   87 | loss=-0.5684 | avg_loss=-0.4682 | tokens=3638 | queue=1
14:26:18 Step   88 | loss=-0.5245 | avg_loss=-0.4689 | tokens=3948 | queue=0
14:31:25 Step   89 | loss=-0.4854 | avg_loss=-0.4691 | tokens=3874 | queue=0
14:36:33 Step   90 | loss=-0.4657 | avg_loss=-0.4690 | tokens=4252 | queue=0
14:41:39 Step   91 | loss=-0.5335 | avg_loss=-0.4697 | tokens=4229 | queue=0
14:46:46 Step   92 | loss=-0.5372 | avg_loss=-0.4705 | tokens=3981 | queue=0
14:51:54 Step   93 | loss=-0.4965 | avg_loss=-0.4708 | tokens=3535 | queue=0
