08:29:22 Step   67 | loss=-0.1572 | avg_loss=-0.2112 | tokens=2408 | queue=0
08:34:33 Step   68 | loss=-0.4465 | avg_loss=-0.2147 | tokens=1924 | queue=0
08:39:43 Step   69 | loss=-0.1643 | avg_loss=-0.2140 | tokens=3016 | queue=0
08:44:56 Step   70 | loss=-0.2404 | avg_loss=-0.2143 | tokens=2747 | queue=0
08:50:05 Step   71 | loss=-0.2089 | avg_loss=-0.2143 | tokens=2403 | queue=0
08:55:14 Step   72 | loss=-0.1415 | avg_loss=-0.2133 | tokens=2174 | queue=1
09:00:22 Step   73 | loss=-0.2026 | avg_loss=-0.2131 | tokens=2425 | queue=0
09:05:31 Step   74 | loss=-0.2526 | avg_loss=-0.2136 | tokens=2436 | queue=0
09:10:41 Step   75 | loss=-0.2241 | avg_loss=-0.2138 | tokens=2424 | queue=0
09:15:52 Step   76 | loss=-0.2248 | avg_loss=-0.2139 | tokens=2412 | queue=0
09:21:00 Step   77 | loss=-0.1704 | avg_loss=-0.2134 | tokens=2408 | queue=0
09:26:10 Step   78 | loss=-0.0910 | avg_loss=-0.2118 | tokens=2408 | queue=0
09:31:22 Step   79 | loss=-0.2137 | avg_loss=-0.2118 | tokens=2429 | queue=0
09:36:30 Step   80 | loss=-0.2261 | avg_loss=-0.2120 | tokens=2439 | queue=0
09:41:40 Step   81 | loss=-0.2033 | avg_loss=-0.2119 | tokens=2415 | queue=0
09:46:50 Step   82 | loss=-0.1458 | avg_loss=-0.2111 | tokens=2479 | queue=0
09:51:59 Step   83 | loss=-0.1464 | avg_loss=-0.2103 | tokens=2408 | queue=0
09:57:07 Step   84 | loss=-0.3067 | avg_loss=-0.2115 | tokens=2453 | queue=0
10:02:15 Step   85 | loss=-0.1143 | avg_loss=-0.2103 | tokens=2408 | queue=0
10:07:27 Step   86 | loss=-0.2369 | avg_loss=-0.2106 | tokens=2434 | queue=0
10:12:40 Step   87 | loss=-0.2859 | avg_loss=-0.2115 | tokens=2419 | queue=0
10:17:50 Step   88 | loss=-0.1233 | avg_loss=-0.2105 | tokens=2416 | queue=0
10:22:59 Step   89 | loss=-0.5006 | avg_loss=-0.2137 | tokens=1895 | queue=0
10:28:10 Step   90 | loss=-0.5013 | avg_loss=-0.2169 | tokens=1891 | queue=0
10:33:19 Step   91 | loss=-0.4304 | avg_loss=-0.2193 | tokens=1869 | queue=0
10:38:34 Step   92 | loss=-0.1582 | avg_loss=-0.2186 | tokens=3010 | queue=0
10:43:46 Step   93 | loss=-0.2394 | avg_loss=-0.2188 | tokens=2731 | queue=0
10:48:53 Step   94 | loss=0.0315 | avg_loss=-0.2162 | tokens=2239 | queue=0
10:54:03 Step   95 | loss=-0.2341 | avg_loss=-0.2164 | tokens=2410 | queue=0
10:59:14 Step   96 | loss=-0.2434 | avg_loss=-0.2167 | tokens=2451 | queue=0
11:04:21 Step   97 | loss=-0.1929 | avg_loss=-0.2164 | tokens=2159 | queue=0
11:09:32 Step   98 | loss=-0.1929 | avg_loss=-0.2162 | tokens=2408 | queue=0
11:14:41 Step   99 | loss=-0.2003 | avg_loss=-0.2160 | tokens=2421 | queue=0
11:19:50 Step  100 | loss=-0.1033 | avg_loss=-0.2149 | tokens=2408 | queue=0
11:25:05 Step  101 | loss=-0.2314 | avg_loss=-0.2150 | tokens=3023 | queue=0
11:30:14 Step  102 | loss=-0.3690 | avg_loss=-0.2166 | tokens=2477 | queue=0
